feature,importance
NH4,-0.001050758
Na,-0.000712853
PO4,-0.000709696
COD,-0.000705284
NO3,-0.00062947
SO4,-0.000529989
Cl,-0.000510268
HCO3,-0.000127042
K,-1.44E-05
HA,5.67E-06
temp,0.001539068
pH,0.066255083
Time,0.104943418
Dose ,0.19438219
Iniconc,0.637864364
