feature,importance
HA,4.91E-05
SO4,0.000205488
temp,0.00030455
Na,0.000335567
NO3,0.000349838
COD,0.000353033
K,0.001515458
pH,0.001797888
PO4,0.002543693
HCO3,0.00262152
Cl,0.002666011
Time,0.003456546
NH4,0.004918105
Dose ,0.457993771
Iniconc,5.21E-01
