feature,importance
HA,0.000166882
SO4,0.000679766
Na,0.001570756
HCO3,0.004629166
temp,0.00576709
COD,0.006092536
K,0.007449267
Time,0.019037574
NO3,0.020762505
PO4,0.024090243
pH,0.025934554
NH4,0.036077301
Cl,0.071831684
Iniconc,0.368014801
Dose ,0.407895873
