feature,importance
pH,0
Time,0
temp,0
NO3,0
HCO3,0
SO4,0
HA,0
K,0
Na,0
COD,0
NH4,0.008410121
Cl,0.011354839
PO4,0.020058877
Dose ,0.097343507
Iniconc,0.862832656
