feature,importance
K,-0.000442891
Cl,-0.000238335
HA,0
NH4,1.10E-05
NO3,9.22E-05
Na,0.000106562
COD,0.000187635
PO4,0.000220958
HCO3,0.000319358
SO4,0.00052132
temp,0.001718017
pH,0.042681028
Time,0.083228418
Dose ,0.293377874
Iniconc,0.578216926
