feature,importance
pH,0
Time,0
temp,0
NO3,0
Cl,0
HCO3,0
SO4,0
PO4,0
HA,0
K,0
Na,0
NH4,0
COD,0
Dose ,0.298756795
Iniconc,0.701243205
