feature,importance
HA,3.93E-05
Na,0.000158448
SO4,0.000187865
COD,0.000293466
NH4,0.000719034
K,0.000723516
NO3,0.000764815
Cl,0.000805522
HCO3,0.000968833
PO4,0.001868401
temp,0.0035283
Time,0.01348643
pH,0.013627731
Iniconc,0.471225009
Dose ,0.491603339
