feature,importance
HA,0.00014232
SO4,0.000573255
Na,0.002167719
COD,0.002267902
NO3,0.003526181
NH4,0.009619301
K,0.012968682
Cl,0.014950847
temp,0.022216732
HCO3,0.022883453
PO4,0.029983092
Time,0.033090631
pH,0.047621848
Dose ,0.320092456
Iniconc,0.477895583
