feature,importance
HA,6.32E-06
SO4,2.70E-05
Na,7.89E-05
COD,0.000128986
HCO3,0.000227924
NH4,0.000270582
NO3,0.000272414
K,0.00028763
Cl,0.000448779
temp,0.000650911
PO4,0.000735724
Time,0.003150433
pH,0.004276467
Iniconc,0.482594306
Dose ,0.506843562
