feature,importance
HA,0.000114327
SO4,0.001144309
Na,0.00243746
HCO3,0.004305146
NO3,0.004824925
COD,0.006253993
temp,0.006626283
Cl,0.007124684
NH4,0.007125865
K,0.00736599
PO4,0.057782007
Time,0.06072455
pH,0.07990208
Iniconc,0.366667657
Dose ,0.387600724
