SO4,qt,Removal,finalpH,LeachingMg
0.0,14.3002,78.65812,10.784296,1.1369491
0.01,14.276828,78.70632,10.78553,1.1371629
0.52,13.164086,80.99105,10.845726,1.1573408
0.67,12.857574,81.61101,10.8618145,1.1732779
0.9999999999999999,12.2406645,82.802864,10.894872,1.2165668
10.0,13.87424,92.71832,11.31415,1.0979204
